dataset,client_id,matrix_type,neighbor_type,mean_js_to_global
NSLKDD,0,label_affinity,topn,0.6487083244773784
NSLKDD,0,label_affinity,random_n,0.4411015972701919
NSLKDD,1,label_affinity,topn,0.5276596700087156
NSLKDD,1,label_affinity,random_n,0.48124611902846187
NSLKDD,2,label_affinity,topn,0.6766849441043247
NSLKDD,2,label_affinity,random_n,0.6487083244773784
NSLKDD,3,label_affinity,topn,0.3850748086973717
NSLKDD,3,label_affinity,random_n,0.49367369266306427
NSLKDD,4,label_affinity,topn,0.6135721433221356
NSLKDD,4,label_affinity,random_n,0.5448053246175516
NSLKDD,5,label_affinity,topn,0.6321643396891651
NSLKDD,5,label_affinity,random_n,0.5132018083106106
NSLKDD,6,label_affinity,topn,0.643707836430972
NSLKDD,6,label_affinity,random_n,0.4634937200833318
NSLKDD,7,label_affinity,topn,0.6235132187079816
NSLKDD,7,label_affinity,random_n,0.5231360732920859
NSLKDD,8,label_affinity,topn,0.762776290918719
NSLKDD,8,label_affinity,random_n,0.4845388102218266
NSLKDD,9,label_affinity,topn,0.51740763378556
NSLKDD,9,label_affinity,random_n,0.46586776568698207
NSLKDD,10,label_affinity,topn,0.6487083244773784
NSLKDD,10,label_affinity,random_n,0.4458807612119087
NSLKDD,11,label_affinity,topn,0.5571622461426439
NSLKDD,11,label_affinity,random_n,0.43417630538566954
NSLKDD,12,label_affinity,topn,0.5656296104172789
NSLKDD,12,label_affinity,random_n,0.4148255159807843
NSLKDD,13,label_affinity,topn,0.476801264366378
NSLKDD,13,label_affinity,random_n,0.5154089259678003
NSLKDD,14,label_affinity,topn,0.5926727395332624
NSLKDD,14,label_affinity,random_n,0.5493303739783674
NSLKDD,15,label_affinity,topn,0.6447786434886239
NSLKDD,15,label_affinity,random_n,0.5660118356726365
NSLKDD,16,label_affinity,topn,0.4538437821680315
NSLKDD,16,label_affinity,random_n,0.427894709577322
NSLKDD,17,label_affinity,topn,0.49803957394640025
NSLKDD,17,label_affinity,random_n,0.38892929766830475
NSLKDD,18,label_affinity,topn,0.39836643387448606
NSLKDD,18,label_affinity,random_n,0.5952236308021192
NSLKDD,19,label_affinity,topn,0.5432880126276419
NSLKDD,19,label_affinity,random_n,0.5825204046397445
NSLKDD,20,label_affinity,topn,0.6256444795000285
NSLKDD,20,label_affinity,random_n,0.5162171251426111
NSLKDD,21,label_affinity,topn,0.5029931422809838
NSLKDD,21,label_affinity,random_n,0.5466272035545532
NSLKDD,22,label_affinity,topn,0.3999748644614019
NSLKDD,22,label_affinity,random_n,0.3413727275180816
NSLKDD,23,label_affinity,topn,0.5581532898556064
NSLKDD,23,label_affinity,random_n,0.586038721560323
NSLKDD,24,label_affinity,topn,0.6586493998632245
NSLKDD,24,label_affinity,random_n,0.5867307040336004
NSLKDD,25,label_affinity,topn,0.4067221392425268
NSLKDD,25,label_affinity,random_n,0.48676283984223484
NSLKDD,26,label_affinity,topn,0.553229088013488
