dataset,client_id,matrix_type,neighbor_type,mean_entropy
NSLKDD,0,label_affinity,topn,0.03557026816744285
NSLKDD,0,label_affinity,random_n,0.3791090170260911
NSLKDD,1,label_affinity,topn,0.38089610938471036
NSLKDD,1,label_affinity,random_n,0.6721200259113376
NSLKDD,2,label_affinity,topn,0.8629090853036278
NSLKDD,2,label_affinity,random_n,0.03557026816744285
NSLKDD,3,label_affinity,topn,0.9021678716204495
NSLKDD,3,label_affinity,random_n,0.8048971484206678
NSLKDD,4,label_affinity,topn,0.2228659080489576
NSLKDD,4,label_affinity,random_n,0.47497516157515235
NSLKDD,5,label_affinity,topn,0.9972227464504494
NSLKDD,5,label_affinity,random_n,0.22965729332590065
NSLKDD,6,label_affinity,topn,0.7165464066578565
NSLKDD,6,label_affinity,random_n,0.4129322937583759
NSLKDD,7,label_affinity,topn,0.18729563988151474
NSLKDD,7,label_affinity,random_n,0.29053455268520195
NSLKDD,8,label_affinity,topn,0.7538367028528395
NSLKDD,8,label_affinity,random_n,0.5406844039997659
NSLKDD,9,label_affinity,topn,0.9708608801830984
NSLKDD,9,label_affinity,random_n,0.6914580506471527
NSLKDD,10,label_affinity,topn,0.03557026816744285
NSLKDD,10,label_affinity,random_n,0.630167329415483
NSLKDD,11,label_affinity,topn,0.2833167519894529
NSLKDD,11,label_affinity,random_n,0.6073895143830745
NSLKDD,12,label_affinity,topn,0.9122579181706522
NSLKDD,12,label_affinity,random_n,0.5654404157236225
NSLKDD,13,label_affinity,topn,0.4265560013525345
NSLKDD,13,label_affinity,random_n,0.6684425216617499
NSLKDD,14,label_affinity,topn,0.15129725007551068
NSLKDD,14,label_affinity,random_n,0.5450282209977128
NSLKDD,15,label_affinity,topn,0.25650922045427965
NSLKDD,15,label_affinity,random_n,0.665798389348743
NSLKDD,16,label_affinity,topn,0.4193181212594361
NSLKDD,16,label_affinity,random_n,0.45981658296454847
NSLKDD,17,label_affinity,topn,0.7776713697062881
NSLKDD,17,label_affinity,random_n,0.5523848744688493
NSLKDD,18,label_affinity,topn,0.45100981861117556
NSLKDD,18,label_affinity,random_n,0.515843324868306
NSLKDD,19,label_affinity,topn,0.3200171438056538
NSLKDD,19,label_affinity,random_n,0.550634629308344
NSLKDD,20,label_affinity,topn,0.6644498747067317
NSLKDD,20,label_affinity,random_n,0.873420170531019
NSLKDD,21,label_affinity,topn,0.8449542146778429
NSLKDD,21,label_affinity,random_n,0.5614376996314382
NSLKDD,22,label_affinity,topn,0.36580752154642426
NSLKDD,22,label_affinity,random_n,0.8013166062667164
NSLKDD,23,label_affinity,topn,0.9203011239268974
NSLKDD,23,label_affinity,random_n,0.4345143798069973
NSLKDD,24,label_affinity,topn,0.0
NSLKDD,24,label_affinity,random_n,0.5258228949134104
NSLKDD,25,label_affinity,topn,0.5689100574143153
NSLKDD,25,label_affinity,random_n,0.6562183388579823
NSLKDD,26,label_affinity,topn,0.28444687563821097
NSLKDD,26,label_affinity,random_n,0.30918982576581405
NSLKDD,27,label_affinity,topn,0.3701663631759422
NSLKDD,27,label_affinity,random_n,0.3574973516813365
NSLKDD,28,label_affinity,topn,0.6651431736947235
NSLKDD,28,label_affinity,random_n,0.44166717144260564
NSLKDD,29,label_affinity,topn,0.1320195019139422
NSLKDD,29,label_affinity,random_n,0.1865930965098779
NSLKDD,30,label_affinity,topn,0.03557026816744285
NSLKDD,30,label_affinity,random_n,0.4441757219538643
NSLKDD,31,label_affinity,topn,0.3725668709423989
NSLKDD,31,label_affinity,random_n,0.7257418521073588
NSLKDD,32,label_affinity,topn,0.44182334901831927
NSLKDD,32,label_affinity,random_n,0.4706157078199554
NSLKDD,33,label_affinity,topn,0.6311043939360349
NSLKDD,33,label_affinity,random_n,0.4340950237877888
NSLKDD,34,label_affinity,topn,0.44737527479056743
NSLKDD,34,label_affinity,random_n,0.7253212112823464
NSLKDD,35,label_affinity,topn,0.794885540762495
NSLKDD,35,label_affinity,random_n,0.8279841271139906
NSLKDD,36,label_affinity,topn,0.4516994911681798
NSLKDD,36,label_affinity,random_n,0.581468921936983
NSLKDD,37,label_affinity,topn,1.0392993075778825
NSLKDD,37,label_affinity,random_n,0.5129787045090396
NSLKDD,38,label_affinity,topn,0.9439627719252921
NSLKDD,38,label_affinity,random_n,0.4679463334570926
NSLKDD,39,label_affinity,topn,0.9382631463845149
NSLKDD,39,label_affinity,random_n,0.7897165465400473
NSLKDD,40,label_affinity,topn,0.3980312245089352
NSLKDD,40,label_affinity,random_n,0.6497444740196633
NSLKDD,41,label_affinity,topn,0.3971898710472475
NSLKDD,41,label_affinity,random_n,0.5845281326197883
NSLKDD,42,label_affinity,topn,0.8449996284173036
NSLKDD,42,label_affinity,random_n,0.1344035376460284
NSLKDD,43,label_affinity,topn,0.48627014229945936
NSLKDD,43,label_affinity,random_n,0.6400812356218647
NSLKDD,44,label_affinity,topn,0.2141305289454846
NSLKDD,44,label_affinity,random_n,0.5932454676416077
NSLKDD,45,label_affinity,topn,0.49145680930880514
NSLKDD,45,label_affinity,random_n,0.3137845093200798
NSLKDD,46,label_affinity,topn,0.4213896734698815
NSLKDD,46,label_affinity,random_n,0.4959167936188756
NSLKDD,47,label_affinity,topn,0.362482207623474
NSLKDD,47,label_affinity,random_n,0.46965085160305264
NSLKDD,48,label_affinity,topn,0.4001015720226338
NSLKDD,48,label_affinity,random_n,0.5384003618880242
NSLKDD,49,label_affinity,topn,0.2499563064635726
NSLKDD,49,label_affinity,random_n,0.4368238026812133
NSLKDD,0,random,topn,0.321234650834382
NSLKDD,0,random,random_n,0.6865170640825392
NSLKDD,1,random,topn,0.4126506417752709
NSLKDD,1,random,random_n,0.4523220595850037
NSLKDD,2,random,topn,0.8129688477149667
NSLKDD,2,random,random_n,0.9230552061843076
NSLKDD,3,random,topn,0.7441056041072032
NSLKDD,3,random,random_n,0.7562195808411177
NSLKDD,4,random,topn,0.5475633561823344
NSLKDD,4,random,random_n,0.657935389281279
NSLKDD,5,random,topn,0.1433668227358519
NSLKDD,5,random,random_n,0.28698205815647687
NSLKDD,6,random,topn,0.5961308670476168
NSLKDD,6,random,random_n,0.5326691227914021
NSLKDD,7,random,topn,0.26688191520815074
NSLKDD,7,random,random_n,0.74409154260525
NSLKDD,8,random,topn,0.2833167519894529
NSLKDD,8,random,random_n,0.48595057344078363
NSLKDD,9,random,topn,0.6579113477014701
NSLKDD,9,random,random_n,0.5331842108188959
NSLKDD,10,random,topn,0.14637191478743358
NSLKDD,10,random,random_n,0.2617213389972792
NSLKDD,11,random,topn,0.759145813963135
NSLKDD,11,random,random_n,0.5997317058360638
NSLKDD,12,random,topn,0.4275517110247116
NSLKDD,12,random,random_n,0.5537143483589086
NSLKDD,13,random,topn,0.5288203113972635
NSLKDD,13,random,random_n,0.4123065057873392
NSLKDD,14,random,topn,0.43817674992064076
NSLKDD,14,random,random_n,0.39009867394783154
NSLKDD,15,random,topn,0.6020343880186018
NSLKDD,15,random,random_n,0.8386390152563886
NSLKDD,16,random,topn,0.5384033797704574
NSLKDD,16,random,random_n,0.6386640425975377
NSLKDD,17,random,topn,0.5480039884122304
NSLKDD,17,random,random_n,0.7087693923256099
NSLKDD,18,random,topn,0.29053455268520195
NSLKDD,18,random,random_n,0.6481751331017369
NSLKDD,19,random,topn,0.21316567272858192
NSLKDD,19,random,random_n,0.24760865376077348
NSLKDD,20,random,topn,0.2746191746345345
NSLKDD,20,random,random_n,0.11974008792871195
NSLKDD,21,random,topn,0.5940786422431307
NSLKDD,21,random,random_n,0.6043190620052817
NSLKDD,22,random,topn,0.504162410765638
NSLKDD,22,random,random_n,0.6276280317141055
NSLKDD,23,random,topn,0.0
NSLKDD,23,random,random_n,0.5307142712744451
NSLKDD,24,random,topn,0.3869855905369221
NSLKDD,24,random,random_n,1.1093739558534073
NSLKDD,25,random,topn,0.7312081587792036
NSLKDD,25,random,random_n,0.6022422855262858
NSLKDD,26,random,topn,0.34208035434519557
NSLKDD,26,random,random_n,0.5419510629069819
NSLKDD,27,random,topn,1.0395190335429167
NSLKDD,27,random,random_n,0.1699738058134712
NSLKDD,28,random,topn,0.36815223982373463
NSLKDD,28,random,random_n,0.7070906126782363
NSLKDD,29,random,topn,0.6932440905508866
NSLKDD,29,random,random_n,0.7771179692157993
NSLKDD,30,random,topn,0.6203852504711524
NSLKDD,30,random,random_n,0.57801245377726
NSLKDD,31,random,topn,0.23151070357816494
NSLKDD,31,random,random_n,0.6247180105084443
NSLKDD,32,random,topn,0.5774661646143259
NSLKDD,32,random,random_n,0.6799873808332312
NSLKDD,33,random,topn,0.4196946022136629
NSLKDD,33,random,random_n,0.5307142712744451
NSLKDD,34,random,topn,0.5508667761328127
NSLKDD,34,random,random_n,0.3411700866632336
NSLKDD,35,random,topn,0.5602489552231971
NSLKDD,35,random,random_n,0.5850297401051346
NSLKDD,36,random,topn,0.6705100820822262
NSLKDD,36,random,random_n,0.312545244119175
NSLKDD,37,random,topn,0.6998496039380927
NSLKDD,37,random,random_n,0.3173283347018387
NSLKDD,38,random,topn,0.7056897235058236
NSLKDD,38,random,random_n,0.5856045538153788
NSLKDD,39,random,topn,0.8341669021488909
NSLKDD,39,random,random_n,0.6481751331017369
NSLKDD,40,random,topn,0.17039974214614828
NSLKDD,40,random,random_n,0.15129725007551068
NSLKDD,41,random,topn,0.5070267115321371
NSLKDD,41,random,random_n,0.20321990591249497
NSLKDD,42,random,topn,0.5765993393447172
NSLKDD,42,random,random_n,0.3293977136259683
NSLKDD,43,random,topn,0.9393935156271658
NSLKDD,43,random,random_n,0.3515569165271259
NSLKDD,44,random,topn,0.5227589894072698
NSLKDD,44,random,random_n,0.623040860763131
NSLKDD,45,random,topn,0.5556733285231911
NSLKDD,45,random,random_n,0.5276386263085785
NSLKDD,46,random,topn,0.41101341789563683
NSLKDD,46,random,random_n,0.48774602128606653
NSLKDD,47,random,topn,0.38993941114790615
NSLKDD,47,random,random_n,0.4981585139453509
NSLKDD,48,random,topn,0.8807670223334388
NSLKDD,48,random,random_n,0.3137845093200798
NSLKDD,49,random,topn,0.21479320035357571
NSLKDD,49,random,random_n,0.8238407468096215
NSLKDD,0,label_affinity,topn,0.03557026816744285
NSLKDD,0,label_affinity,random_n,0.29620820535459974
NSLKDD,1,label_affinity,topn,0.38089610938471036
NSLKDD,1,label_affinity,random_n,0.5142335077040836
NSLKDD,2,label_affinity,topn,0.8629090853036278
NSLKDD,2,label_affinity,random_n,0.22615107082983632
NSLKDD,3,label_affinity,topn,0.9021678716204495
NSLKDD,3,label_affinity,random_n,0.40043007691154836
NSLKDD,4,label_affinity,topn,0.2228659080489576
NSLKDD,4,label_affinity,random_n,0.43422981551364953
NSLKDD,5,label_affinity,topn,0.9972227464504494
NSLKDD,5,label_affinity,random_n,0.5321000659495693
NSLKDD,6,label_affinity,topn,0.7165464066578565
NSLKDD,6,label_affinity,random_n,0.2785928869730364
NSLKDD,7,label_affinity,topn,0.18729563988151474
NSLKDD,7,label_affinity,random_n,0.32512858140195444
NSLKDD,8,label_affinity,topn,0.7538367028528395
NSLKDD,8,label_affinity,random_n,0.41920355576597795
NSLKDD,9,label_affinity,topn,0.9708608801830984
NSLKDD,9,label_affinity,random_n,0.6514941034598097
NSLKDD,10,label_affinity,topn,0.03557026816744285
NSLKDD,10,label_affinity,random_n,0.4689200596704027
NSLKDD,11,label_affinity,topn,0.2833167519894529
