dataset,client_id,matrix_type,neighbor_type,mean_label_sim_to_client
NSLKDD,0,label_affinity,topn,0.9922789007825382
NSLKDD,0,label_affinity,random_n,0.16195230361987945
NSLKDD,1,label_affinity,topn,0.9715254305658586
NSLKDD,1,label_affinity,random_n,0.1979451161710728
NSLKDD,2,label_affinity,topn,0.8403624687953496
NSLKDD,2,label_affinity,random_n,0.1834276267063948
NSLKDD,3,label_affinity,topn,0.9695432933631613
NSLKDD,3,label_affinity,random_n,0.601813873194692
NSLKDD,4,label_affinity,topn,0.9903739173183471
NSLKDD,4,label_affinity,random_n,0.06885034397041426
NSLKDD,5,label_affinity,topn,0.9030672164235333
NSLKDD,5,label_affinity,random_n,0.3481401314870289
NSLKDD,6,label_affinity,topn,0.9718356177262343
NSLKDD,6,label_affinity,random_n,0.32752258913477206
NSLKDD,7,label_affinity,topn,0.9698724324708922
NSLKDD,7,label_affinity,random_n,0.49533405856036694
NSLKDD,8,label_affinity,topn,0.8341351742955657
NSLKDD,8,label_affinity,random_n,0.42105698712157397
NSLKDD,9,label_affinity,topn,0.900210208712641
NSLKDD,9,label_affinity,random_n,0.4896046379189712
NSLKDD,10,label_affinity,topn,0.9999648675329357
NSLKDD,10,label_affinity,random_n,0.035883730879029185
NSLKDD,11,label_affinity,topn,0.912554580645224
NSLKDD,11,label_affinity,random_n,0.5930471792247306
NSLKDD,12,label_affinity,topn,0.9384355684878601
NSLKDD,12,label_affinity,random_n,0.5520100699908891
NSLKDD,13,label_affinity,topn,0.9713726141984423
NSLKDD,13,label_affinity,random_n,0.6656038407230083
NSLKDD,14,label_affinity,topn,0.9978813480278902
NSLKDD,14,label_affinity,random_n,0.6786439202376257
NSLKDD,15,label_affinity,topn,0.8354514175029122
NSLKDD,15,label_affinity,random_n,0.6638134532645414
NSLKDD,16,label_affinity,topn,0.9907063848140646
NSLKDD,16,label_affinity,random_n,0.5043108001811578
NSLKDD,17,label_affinity,topn,0.9520752489751342
NSLKDD,17,label_affinity,random_n,0.5957232450944886
NSLKDD,18,label_affinity,topn,0.9909603606942934
NSLKDD,18,label_affinity,random_n,0.26361204933567955
NSLKDD,19,label_affinity,topn,0.9896886637885777
NSLKDD,19,label_affinity,random_n,0.33525628220971404
NSLKDD,20,label_affinity,topn,0.9806558779703155
NSLKDD,20,label_affinity,random_n,0.5630896268050406
NSLKDD,21,label_affinity,topn,0.886178531082817
NSLKDD,21,label_affinity,random_n,0.3711230270583119
NSLKDD,22,label_affinity,topn,0.9957780952340082
NSLKDD,22,label_affinity,random_n,0.6502628316325822
NSLKDD,23,label_affinity,topn,0.9552104258678092
NSLKDD,23,label_affinity,random_n,0.3862715749371873
NSLKDD,24,label_affinity,topn,1.0
NSLKDD,24,label_affinity,random_n,0.41737546461739994
NSLKDD,25,label_affinity,topn,0.9697702675208713
NSLKDD,25,label_affinity,random_n,0.43599386220554953
NSLKDD,26,label_affinity,topn,0.9902827456363612
NSLKDD,26,label_affinity,random_n,0.6450668635512173
NSLKDD,27,label_affinity,topn,0.9664690271854406
NSLKDD,27,label_affinity,random_n,0.23752209824141926
NSLKDD,28,label_affinity,topn,0.8518107544977026
NSLKDD,28,label_affinity,random_n,0.47743805600722883
NSLKDD,29,label_affinity,topn,0.9997647335204197
NSLKDD,29,label_affinity,random_n,0.344845689989586
NSLKDD,30,label_affinity,topn,0.9999648675329357
NSLKDD,30,label_affinity,random_n,0.34249214974837616
NSLKDD,31,label_affinity,topn,0.9894108145690058
NSLKDD,31,label_affinity,random_n,0.3668775010651377
NSLKDD,32,label_affinity,topn,0.9596545938588835
NSLKDD,32,label_affinity,random_n,0.4451752757911262
NSLKDD,33,label_affinity,topn,0.9062564716980894
NSLKDD,33,label_affinity,random_n,0.5944727068643548
NSLKDD,34,label_affinity,topn,0.9919147689910656
NSLKDD,34,label_affinity,random_n,0.5784956585758835
NSLKDD,35,label_affinity,topn,0.9043727771123594
NSLKDD,35,label_affinity,random_n,0.5573908895234122
NSLKDD,36,label_affinity,topn,0.9564518807659596
NSLKDD,36,label_affinity,random_n,0.6436404284854026
NSLKDD,37,label_affinity,topn,0.8991993402854265
NSLKDD,37,label_affinity,random_n,0.6643843736437686
NSLKDD,38,label_affinity,topn,0.9319744260526436
NSLKDD,38,label_affinity,random_n,0.362888331121816
NSLKDD,39,label_affinity,topn,0.8305792434253222
NSLKDD,39,label_affinity,random_n,0.0963758095054175
NSLKDD,40,label_affinity,topn,0.9912617607948085
NSLKDD,40,label_affinity,random_n,0.568753434954726
NSLKDD,41,label_affinity,topn,0.9321226947535615
NSLKDD,41,label_affinity,random_n,0.7031230693816081
NSLKDD,42,label_affinity,topn,0.9517926790108638
NSLKDD,42,label_affinity,random_n,0.2136855502646073
NSLKDD,43,label_affinity,topn,0.9820742832927691
NSLKDD,43,label_affinity,random_n,0.5255358673603031
NSLKDD,44,label_affinity,topn,0.9849552533596753
NSLKDD,44,label_affinity,random_n,0.21184246638857893
NSLKDD,45,label_affinity,topn,0.974463240771002
NSLKDD,45,label_affinity,random_n,0.08623854718305175
NSLKDD,46,label_affinity,topn,0.984990255849274
NSLKDD,46,label_affinity,random_n,0.2203930052842741
NSLKDD,47,label_affinity,topn,0.9807473036073336
NSLKDD,47,label_affinity,random_n,0.682132056438555
NSLKDD,48,label_affinity,topn,0.9943684287279259
NSLKDD,48,label_affinity,random_n,0.3229502106827997
NSLKDD,49,label_affinity,topn,0.9219713722296552
NSLKDD,49,label_affinity,random_n,0.5435328057884511
NSLKDD,0,random,topn,0.7112422699543868
NSLKDD,0,random,random_n,0.44098815357490856
NSLKDD,1,random,topn,0.6523230930239969
NSLKDD,1,random,random_n,0.1438710556844451
NSLKDD,2,random,topn,0.3887249341169537
NSLKDD,2,random,random_n,0.3792377818036048
NSLKDD,3,random,topn,0.5851711976654536
NSLKDD,3,random,random_n,0.43194588441790954
NSLKDD,4,random,topn,0.4321745171081431
NSLKDD,4,random,random_n,0.8434677797068005
NSLKDD,5,random,topn,0.19105130494690015
NSLKDD,5,random,random_n,0.24943960037879498
NSLKDD,6,random,topn,0.5576456926671416
NSLKDD,6,random,random_n,0.5146236960081071
NSLKDD,7,random,topn,0.5243684538996446
NSLKDD,7,random,random_n,0.5220305963995174
NSLKDD,8,random,topn,0.06728542676395699
NSLKDD,8,random,random_n,0.11357131698680221
NSLKDD,9,random,topn,0.4160036948171675
NSLKDD,9,random,random_n,0.4168060218544924
NSLKDD,10,random,topn,0.6976251400196206
NSLKDD,10,random,random_n,0.3451122024431079
NSLKDD,11,random,topn,0.5819146259057938
NSLKDD,11,random,random_n,0.504107491210952
NSLKDD,12,random,topn,0.42776745893872375
NSLKDD,12,random,random_n,0.6041063049351793
NSLKDD,13,random,topn,0.23736686841904472
NSLKDD,13,random,random_n,0.3768237365434133
NSLKDD,14,random,topn,0.3628333458740421
NSLKDD,14,random,random_n,0.6223116161841026
NSLKDD,15,random,topn,0.5203067302490161
NSLKDD,15,random,random_n,0.5116776636386701
NSLKDD,16,random,topn,0.9826591489436917
NSLKDD,16,random,random_n,0.9138823043343485
NSLKDD,17,random,topn,0.5866644717734957
NSLKDD,17,random,random_n,0.16349696220345641
NSLKDD,18,random,topn,0.6629091251130218
NSLKDD,18,random,random_n,0.3815989842572889
NSLKDD,19,random,topn,0.6671857091164363
NSLKDD,19,random,random_n,0.6907608617536946
NSLKDD,20,random,topn,0.10011366570142238
NSLKDD,20,random,random_n,0.06701453722378008
NSLKDD,21,random,topn,0.5724011818096074
NSLKDD,21,random,random_n,0.6267870588825524
NSLKDD,22,random,topn,0.3269093796600347
NSLKDD,22,random,random_n,0.3384019795360413
NSLKDD,23,random,topn,0.0
NSLKDD,23,random,random_n,0.36451316889644986
NSLKDD,24,random,topn,0.3648069710500346
NSLKDD,24,random,random_n,0.08435467413758724
NSLKDD,25,random,topn,0.5781728949632391
NSLKDD,25,random,random_n,0.5583539486836887
NSLKDD,26,random,topn,0.4068867271344289
NSLKDD,26,random,random_n,0.025242482024879217
NSLKDD,27,random,topn,0.5137631417390544
NSLKDD,27,random,random_n,0.32470812165390317
NSLKDD,28,random,topn,0.5481388798384672
NSLKDD,28,random,random_n,0.19237380314223232
NSLKDD,29,random,topn,0.3528169139443466
NSLKDD,29,random,random_n,0.3135563976914005
NSLKDD,30,random,topn,0.41862565323351547
NSLKDD,30,random,random_n,0.09555448794031918
NSLKDD,31,random,topn,0.6642474915193871
NSLKDD,31,random,random_n,0.7050458795242172
NSLKDD,32,random,topn,0.47700287047625795
NSLKDD,32,random,random_n,0.6551530181162729
NSLKDD,33,random,topn,0.44890929298375
NSLKDD,33,random,random_n,0.490573356972996
NSLKDD,34,random,topn,0.2782502816068883
NSLKDD,34,random,random_n,0.5090600278218712
NSLKDD,35,random,topn,0.7304645853608857
NSLKDD,35,random,random_n,0.8446106500278234
NSLKDD,36,random,topn,0.5360927030271138
NSLKDD,36,random,random_n,0.6504515960594693
NSLKDD,37,random,topn,0.7705529962355446
NSLKDD,37,random,random_n,0.49263657974670233
NSLKDD,38,random,topn,0.941520735213373
NSLKDD,38,random,random_n,0.29280614363934976
NSLKDD,39,random,topn,0.11554881839288357
NSLKDD,39,random,random_n,0.1594681946340453
NSLKDD,40,random,topn,0.4044229849783156
NSLKDD,40,random,random_n,0.14508072755547566
NSLKDD,41,random,topn,0.5479018197967559
NSLKDD,41,random,random_n,0.664364353064801
NSLKDD,42,random,topn,0.32384892379769575
NSLKDD,42,random,random_n,0.14800969796015273
NSLKDD,43,random,topn,0.5674741471624567
NSLKDD,43,random,random_n,0.5005599676406658
NSLKDD,44,random,topn,0.12109765443605351
NSLKDD,44,random,random_n,0.3343735743369222
NSLKDD,45,random,topn,0.4407142983139298
NSLKDD,45,random,random_n,0.7923829083492023
NSLKDD,46,random,topn,0.5889861413647995
NSLKDD,46,random,random_n,0.1253751838882892
NSLKDD,47,random,topn,0.06292884567291472
NSLKDD,47,random,random_n,0.6566406526434526
NSLKDD,48,random,topn,0.7477808095409325
NSLKDD,48,random,random_n,0.06876774847033086
NSLKDD,49,random,topn,0.22874165765938737
NSLKDD,49,random,random_n,0.2732657342775855
NSLKDD,0,label_affinity,topn,0.9922789007825382
NSLKDD,0,label_affinity,random_n,0.4613725008945178
NSLKDD,1,label_affinity,topn,0.9715254305658586
NSLKDD,1,label_affinity,random_n,0.47919650652538825
NSLKDD,2,label_affinity,topn,0.8403624687953496
NSLKDD,2,label_affinity,random_n,0.22614439496940178
NSLKDD,3,label_affinity,topn,0.9695432933631613
NSLKDD,3,label_affinity,random_n,0.4868407593534587
NSLKDD,4,label_affinity,topn,0.9903739173183471
NSLKDD,4,label_affinity,random_n,0.42094793323255986
NSLKDD,5,label_affinity,topn,0.9030672164235333
NSLKDD,5,label_affinity,random_n,0.24162426348162921
NSLKDD,6,label_affinity,topn,0.9718356177262343
NSLKDD,6,label_affinity,random_n,0.31604019128254807
NSLKDD,7,label_affinity,topn,0.9698724324708922
NSLKDD,7,label_affinity,random_n,0.4485419815972078
NSLKDD,8,label_affinity,topn,0.8341351742955657
NSLKDD,8,label_affinity,random_n,0.2469740935355801
NSLKDD,9,label_affinity,topn,0.900210208712641
NSLKDD,9,label_affinity,random_n,0.6199104514244967
NSLKDD,10,label_affinity,topn,0.9999648675329357
NSLKDD,10,label_affinity,random_n,0.29800708717033314
NSLKDD,11,label_affinity,topn,0.912554580645224
NSLKDD,11,label_affinity,random_n,0.4249437636262355
NSLKDD,12,label_affinity,topn,0.9384355684878601
NSLKDD,12,label_affinity,random_n,0.4287882721997917
NSLKDD,13,label_affinity,topn,0.9713726141984423
NSLKDD,13,label_affinity,random_n,0.32995706304889183
NSLKDD,14,label_affinity,topn,0.9978813480278902
NSLKDD,14,label_affinity,random_n,0.3512809190023401
NSLKDD,15,label_affinity,topn,0.8354514175029122
NSLKDD,15,label_affinity,random_n,0.19639576300237546
NSLKDD,16,label_affinity,topn,0.9907063848140646
NSLKDD,16,label_affinity,random_n,0.9722182120825332
