dataset,client_id,matrix_type,neighbor_type,mean_js_to_global
UNSW,0,label_affinity,topn,0.657592624462489
UNSW,0,label_affinity,random_n,0.4834786532861835
UNSW,1,label_affinity,topn,0.6085070002271779
UNSW,1,label_affinity,random_n,0.6108990966111548
UNSW,2,label_affinity,topn,0.6818115281826153
UNSW,2,label_affinity,random_n,0.6059246359317454
UNSW,3,label_affinity,topn,0.5747437287067941
UNSW,3,label_affinity,random_n,0.46893376925156965
UNSW,4,label_affinity,topn,0.6283134843038053
UNSW,4,label_affinity,random_n,0.5606886722468543
UNSW,5,label_affinity,topn,0.6229047463428884
UNSW,5,label_affinity,random_n,0.5237631275396462
UNSW,6,label_affinity,topn,0.472101289975247
UNSW,6,label_affinity,random_n,0.6260611403618261
UNSW,7,label_affinity,topn,0.5776163909874573
UNSW,7,label_affinity,random_n,0.5548421348040047
UNSW,8,label_affinity,topn,0.47395239673929046
UNSW,8,label_affinity,random_n,0.5114438780548877
UNSW,9,label_affinity,topn,0.5831984385908074
UNSW,9,label_affinity,random_n,0.6680739829265002
UNSW,10,label_affinity,topn,0.436787229289402
UNSW,10,label_affinity,random_n,0.5784467550708011
UNSW,11,label_affinity,topn,0.5504418350768437
UNSW,11,label_affinity,random_n,0.6374559428224829
UNSW,12,label_affinity,topn,0.4784937899127757
UNSW,12,label_affinity,random_n,0.6084407871603711
UNSW,13,label_affinity,topn,0.6573443880807325
UNSW,13,label_affinity,random_n,0.5521575936726754
UNSW,14,label_affinity,topn,0.6659385408249207
UNSW,14,label_affinity,random_n,0.506662795044166
UNSW,15,label_affinity,topn,0.6669730392142199
UNSW,15,label_affinity,random_n,0.44034655181009824
UNSW,16,label_affinity,topn,0.6573443880807325
UNSW,16,label_affinity,random_n,0.47615829130388954
UNSW,17,label_affinity,topn,0.5831984385908074
UNSW,17,label_affinity,random_n,0.49953200240219503
UNSW,18,label_affinity,topn,0.6744578436280465
UNSW,18,label_affinity,random_n,0.5701194384526566
UNSW,19,label_affinity,topn,0.6573443880807325
UNSW,19,label_affinity,random_n,0.6350755794459584
UNSW,20,label_affinity,topn,0.624383177345307
UNSW,20,label_affinity,random_n,0.599305970662066
UNSW,21,label_affinity,topn,0.46858828466075164
UNSW,21,label_affinity,random_n,0.591263191030681
UNSW,22,label_affinity,topn,0.5492375739211318
UNSW,22,label_affinity,random_n,0.6392512706318981
UNSW,23,label_affinity,topn,0.4140402579209829
UNSW,23,label_affinity,random_n,0.5130350264339435
UNSW,24,label_affinity,topn,0.5873643807523917
UNSW,24,label_affinity,random_n,0.5182369244079986
UNSW,25,label_affinity,topn,0.7229090370496175
UNSW,25,label_affinity,random_n,0.4252387974952741
UNSW,26,label_affinity,topn,0.556397612222503
UNSW,26,label_affinity,random_n,0.513684904795176
UNSW,27,label_affinity,topn,0.6264837148026342
UNSW,27,label_affinity,random_n,0.5082546011672456
UNSW,28,label_affinity,topn,0.6033240299613779
UNSW,28,label_affinity,random_n,0.6189886942180213
UNSW,29,label_affinity,topn,0.6085070002271779
UNSW,29,label_affinity,random_n,0.6329464677787658
UNSW,30,label_affinity,topn,0.5504418350768436
UNSW,30,label_affinity,random_n,0.5406036511006684
UNSW,31,label_affinity,topn,0.4785521364109418
UNSW,31,label_affinity,random_n,0.6129675389551702
UNSW,32,label_affinity,topn,0.5670986467013969
UNSW,32,label_affinity,random_n,0.5083811421503356
UNSW,33,label_affinity,topn,0.4701380304072815
UNSW,33,label_affinity,random_n,0.6848193125891934
UNSW,34,label_affinity,topn,0.6069744724907523
UNSW,34,label_affinity,random_n,0.5367899835936557
UNSW,35,label_affinity,topn,0.5178044796356315
UNSW,35,label_affinity,random_n,0.5756117348562175
UNSW,36,label_affinity,topn,0.650381663697459
UNSW,36,label_affinity,random_n,0.6009356933855874
UNSW,37,label_affinity,topn,0.5237224605274188
UNSW,37,label_affinity,random_n,0.5109368386411485
UNSW,38,label_affinity,topn,0.5732006478995161
UNSW,38,label_affinity,random_n,0.5558388006991785
UNSW,39,label_affinity,topn,0.5851431073894134
UNSW,39,label_affinity,random_n,0.5831153984573505
UNSW,40,label_affinity,topn,0.551369650394809
UNSW,40,label_affinity,random_n,0.5579033187817525
UNSW,41,label_affinity,topn,0.6445221818998227
UNSW,41,label_affinity,random_n,0.5772726949279577
UNSW,42,label_affinity,topn,0.6264537788410119
UNSW,42,label_affinity,random_n,0.5316834121225897
UNSW,43,label_affinity,topn,0.5956847940462681
UNSW,43,label_affinity,random_n,0.6341374739097742
UNSW,44,label_affinity,topn,0.7019972840814569
UNSW,44,label_affinity,random_n,0.5258405041632931
UNSW,45,label_affinity,topn,0.6047364975720901
UNSW,45,label_affinity,random_n,0.5851336569834475
UNSW,46,label_affinity,topn,0.49082608350894996
UNSW,46,label_affinity,random_n,0.7222518738850532
UNSW,47,label_affinity,topn,0.5422164473988814
UNSW,47,label_affinity,random_n,0.5999875789013752
UNSW,48,label_affinity,topn,0.5831984385908074
UNSW,48,label_affinity,random_n,0.5168310251421598
UNSW,49,label_affinity,topn,0.498929492968037
UNSW,49,label_affinity,random_n,0.5710928929461282
UNSW,0,random,topn,0.7009614951186255
UNSW,0,random,random_n,0.6071134768399931
UNSW,1,random,topn,0.5849186086790912
UNSW,1,random,random_n,0.6658218730083592
UNSW,2,random,topn,0.560944499900354
UNSW,2,random,random_n,0.5553740765783411
UNSW,3,random,topn,0.6492435720132699
UNSW,3,random,random_n,0.5355575999807304
UNSW,4,random,topn,0.6470993528512455
UNSW,4,random,random_n,0.5884942524975716
UNSW,5,random,topn,0.5817047975489408
UNSW,5,random,random_n,0.644552970953097
UNSW,6,random,topn,0.5877312156049752
UNSW,6,random,random_n,0.5617050836276635
UNSW,7,random,topn,0.646850010773297
UNSW,7,random,random_n,0.6210953583797161
UNSW,8,random,topn,0.7381821477371894
UNSW,8,random,random_n,0.5647247265872786
UNSW,9,random,topn,0.506530489682265
UNSW,9,random,random_n,0.5175292184044773
UNSW,10,random,topn,0.6609541394075878
UNSW,10,random,random_n,0.7078484202733861
UNSW,11,random,topn,0.5954476460280764
UNSW,11,random,random_n,0.7066701964173904
UNSW,12,random,topn,0.5754282750762827
UNSW,12,random,random_n,0.6422852311592543
UNSW,13,random,topn,0.541332179352162
UNSW,13,random,random_n,0.5875921432855082
UNSW,14,random,topn,0.5167534125319856
UNSW,14,random,random_n,0.7356384189740953
UNSW,15,random,topn,0.5140580698650242
UNSW,15,random,random_n,0.6224449136465552
UNSW,16,random,topn,0.6014135208051862
UNSW,16,random,random_n,0.5211785843217068
UNSW,17,random,topn,0.6220825841377909
UNSW,17,random,random_n,0.5608566463658108
UNSW,18,random,topn,0.5687640175625434
UNSW,18,random,random_n,0.512585228217547
UNSW,19,random,topn,0.6688410007237402
UNSW,19,random,random_n,0.6144913290190976
UNSW,20,random,topn,0.4934296321504772
UNSW,20,random,random_n,0.6631850182246278
UNSW,21,random,topn,0.4701380304072815
UNSW,21,random,random_n,0.5749728276035465
UNSW,22,random,topn,0.6124170085634929
UNSW,22,random,random_n,0.6765752057166767
UNSW,23,random,topn,0.6009083604578821
UNSW,23,random,random_n,0.6415426485821668
UNSW,24,random,topn,0.5151647876579555
UNSW,24,random,random_n,0.5272473401010837
UNSW,25,random,topn,0.5919196643621709
UNSW,25,random,random_n,0.6084661818915126
UNSW,26,random,topn,0.6430754041576304
UNSW,26,random,random_n,0.5418902060139448
UNSW,27,random,topn,0.6442850338816312
UNSW,27,random,random_n,0.5806183391763454
UNSW,28,random,topn,0.5550877799575833
UNSW,28,random,random_n,0.4942753579362033
UNSW,29,random,topn,0.44187712015412123
UNSW,29,random,random_n,0.5137361155887207
UNSW,30,random,topn,0.5777453928754922
UNSW,30,random,random_n,0.5502272102253482
UNSW,31,random,topn,0.5607544869798909
UNSW,31,random,random_n,0.5706905289826003
UNSW,32,random,topn,0.5437689564676722
UNSW,32,random,random_n,0.4796755857360793
UNSW,33,random,topn,0.5170304315569297
UNSW,33,random,random_n,0.6847979888323712
UNSW,34,random,topn,0.4825353070388608
