dataset,client_id,matrix_type,neighbor_type,mean_entropy
UNSW,0,label_affinity,topn,0.7411756017175405
UNSW,0,label_affinity,random_n,1.1302065066279436
UNSW,1,label_affinity,topn,0.24032353710849455
UNSW,1,label_affinity,random_n,1.055791667200703
UNSW,2,label_affinity,topn,1.0681124742314128
UNSW,2,label_affinity,random_n,1.2313575784353528
UNSW,3,label_affinity,topn,0.6816494836817805
UNSW,3,label_affinity,random_n,0.9708789968722384
UNSW,4,label_affinity,topn,0.7328959922573276
UNSW,4,label_affinity,random_n,1.197468088898237
UNSW,5,label_affinity,topn,0.8640695236760765
UNSW,5,label_affinity,random_n,1.203658260378473
UNSW,6,label_affinity,topn,0.9950668670926587
UNSW,6,label_affinity,random_n,0.6217719197919114
UNSW,7,label_affinity,topn,0.44719167240348523
UNSW,7,label_affinity,random_n,0.9634285920218694
UNSW,8,label_affinity,topn,1.032437905721497
UNSW,8,label_affinity,random_n,1.3567783530335722
UNSW,9,label_affinity,topn,0.5286285865080508
UNSW,9,label_affinity,random_n,1.2490415059903535
UNSW,10,label_affinity,topn,1.275166530804161
UNSW,10,label_affinity,random_n,0.9133923679309591
UNSW,11,label_affinity,topn,0.7972412423692194
UNSW,11,label_affinity,random_n,1.1362895795832635
UNSW,12,label_affinity,topn,0.9702854047478618
UNSW,12,label_affinity,random_n,0.6318773815185632
UNSW,13,label_affinity,topn,0.0
UNSW,13,label_affinity,random_n,0.7562701410226117
UNSW,14,label_affinity,topn,1.3973988562031092
UNSW,14,label_affinity,random_n,0.7056661921761865
UNSW,15,label_affinity,topn,1.343109171081119
UNSW,15,label_affinity,random_n,1.2599735524123952
UNSW,16,label_affinity,topn,0.0
UNSW,16,label_affinity,random_n,1.4505930348719627
UNSW,17,label_affinity,topn,0.5286285865080508
UNSW,17,label_affinity,random_n,1.006829210423458
UNSW,18,label_affinity,topn,1.2672911520883503
UNSW,18,label_affinity,random_n,0.8514375307547923
UNSW,19,label_affinity,topn,0.0
UNSW,19,label_affinity,random_n,0.853655883877499
UNSW,20,label_affinity,topn,1.0566177542519581
UNSW,20,label_affinity,random_n,0.8350998345198497
UNSW,21,label_affinity,topn,1.200153970972893
UNSW,21,label_affinity,random_n,1.4139732096330075
UNSW,22,label_affinity,topn,0.8578675541269657
UNSW,22,label_affinity,random_n,0.16293332057161333
UNSW,23,label_affinity,topn,1.5097027688704872
UNSW,23,label_affinity,random_n,1.0178134573042914
UNSW,24,label_affinity,topn,1.0088075977890842
UNSW,24,label_affinity,random_n,1.0368050195074996
UNSW,25,label_affinity,topn,0.8991567376496024
UNSW,25,label_affinity,random_n,1.4435177808149138
UNSW,26,label_affinity,topn,1.440501067652043
UNSW,26,label_affinity,random_n,0.9801342163498892
UNSW,27,label_affinity,topn,0.7858830524371084
UNSW,27,label_affinity,random_n,1.4538982784556513
UNSW,28,label_affinity,topn,1.2881155199368177
UNSW,28,label_affinity,random_n,1.0542735150191345
UNSW,29,label_affinity,topn,0.24032353710849455
UNSW,29,label_affinity,random_n,1.049646299645616
UNSW,30,label_affinity,topn,0.7972412423692194
UNSW,30,label_affinity,random_n,0.9555453057867608
UNSW,31,label_affinity,topn,1.1016239817278135
UNSW,31,label_affinity,random_n,0.6903215341483336
UNSW,32,label_affinity,topn,1.3280048956344548
UNSW,32,label_affinity,random_n,1.3701873834815101
UNSW,33,label_affinity,topn,0.9102526851144922
UNSW,33,label_affinity,random_n,0.8203322050473961
UNSW,34,label_affinity,topn,0.964232467832281
UNSW,34,label_affinity,random_n,0.812365840746137
UNSW,35,label_affinity,topn,0.9515380655207424
UNSW,35,label_affinity,random_n,1.0779274689248615
UNSW,36,label_affinity,topn,1.354325246377334
UNSW,36,label_affinity,random_n,0.4711193896407382
