dataset,round,client_id,matrix_type,neighbor_type,mean_entropy,std_entropy,mean_js_to_global,mean_num_classes,class_coverage,class_coverage_ratio,same_dominant_class_ratio,mean_label_sim_to_client,client_entropy
NSLKDD,0,0,label_affinity,topn,0.03557026816744285,0.05030395565964566,0.6487083244773784,1.6666666666666667,3,0.6,1.0,0.9922789007825382,0.45389175022653205
NSLKDD,0,0,label_affinity,random_n,0.3791090170260911,0.2766280955123716,0.4411015972701919,4.333333333333333,5,1.0,0.0,0.16195230361987945,0.45389175022653205
NSLKDD,0,1,label_affinity,topn,0.38089610938471036,0.35433824674662345,0.5276596700087156,3.6666666666666665,5,1.0,1.0,0.9715254305658586,0.5618869196445442
NSLKDD,0,1,label_affinity,random_n,0.6721200259113376,0.15532839225229716,0.48124611902846187,4.333333333333333,5,1.0,0.0,0.1979451161710728,0.5618869196445442
NSLKDD,0,2,label_affinity,topn,0.8629090853036278,0.45439430806579095,0.6766849441043247,4.0,5,1.0,0.6666666666666666,0.8403624687953496,0.9413535279602394
NSLKDD,0,2,label_affinity,random_n,0.03557026816744285,0.05030395565964566,0.6487083244773784,1.6666666666666667,3,0.6,0.0,0.1834276267063948,0.9413535279602394
NSLKDD,0,3,label_affinity,topn,0.9021678716204495,0.19293495607523706,0.3850748086973717,4.333333333333333,5,1.0,1.0,0.9695432933631613,0.8285518317507942
NSLKDD,0,3,label_affinity,random_n,0.8048971484206678,0.5713393967877333,0.49367369266306427,3.0,4,0.8,0.3333333333333333,0.601813873194692,0.8285518317507942
NSLKDD,0,4,label_affinity,topn,0.2228659080489576,0.24365034192034932,0.6135721433221356,2.3333333333333335,4,0.8,1.0,0.9903739173183471,-0.0
NSLKDD,0,4,label_affinity,random_n,0.47497516157515235,0.2105897902644693,0.5448053246175516,4.333333333333333,5,1.0,0.0,0.06885034397041426,-0.0
NSLKDD,0,5,label_affinity,topn,0.9972227464504494,0.2026344349611256,0.6321643396891651,3.6666666666666665,4,0.8,0.6666666666666666,0.9030672164235333,1.0916918751148001
NSLKDD,0,5,label_affinity,random_n,0.22965729332590065,0.2882180359491153,0.5132018083106106,3.0,5,1.0,0.0,0.3481401314870289,1.0916918751148001
NSLKDD,0,6,label_affinity,topn,0.7165464066578565,0.342251975239224,0.643707836430972,3.3333333333333335,4,0.8,1.0,0.9718356177262343,0.815460133485897
NSLKDD,0,6,label_affinity,random_n,0.4129322937583759,0.11796367346204495,0.4634937200833318,4.666666666666667,5,1.0,0.0,0.32752258913477206,0.815460133485897
NSLKDD,0,7,label_affinity,topn,0.18729563988151474,0.2648760340937853,0.6235132187079816,1.6666666666666667,3,0.6,1.0,0.9698724324708922,0.853340626914633
NSLKDD,0,7,label_affinity,random_n,0.29053455268520195,0.30689726635850123,0.5231360732920859,3.0,5,1.0,0.3333333333333333,0.49533405856036694,0.853340626914633
NSLKDD,0,8,label_affinity,topn,0.7538367028528395,0.3765299513285274,0.762776290918719,3.6666666666666665,5,1.0,1.0,0.8341351742955657,0.7817440360785051
NSLKDD,0,8,label_affinity,random_n,0.5406844039997659,0.3451677719760499,0.4845388102218266,4.333333333333333,5,1.0,0.0,0.42105698712157397,0.7817440360785051
NSLKDD,0,9,label_affinity,topn,0.9708608801830984,0.21058045133693976,0.51740763378556,4.0,5,1.0,0.6666666666666666,0.900210208712641,1.1735245985993172
NSLKDD,0,9,label_affinity,random_n,0.6914580506471527,0.09226040808215659,0.46586776568698207,3.6666666666666665,4,0.8,0.3333333333333333,0.4896046379189712,1.1735245985993172
NSLKDD,0,10,label_affinity,topn,0.03557026816744285,0.05030395565964566,0.6487083244773784,1.6666666666666667,3,0.6,1.0,0.9999648675329357,-0.0
NSLKDD,0,10,label_affinity,random_n,0.630167329415483,0.15388200804207128,0.4458807612119087,5.0,5,1.0,0.0,0.035883730879029185,-0.0
NSLKDD,0,11,label_affinity,topn,0.2833167519894529,0.14180016814783294,0.5571622461426439,4.0,5,1.0,1.0,0.912554580645224,0.7710008007058935
NSLKDD,0,11,label_affinity,random_n,0.6073895143830745,0.3233224532099629,0.43417630538566954,4.666666666666667,5,1.0,0.3333333333333333,0.5930471792247306,0.7710008007058935
NSLKDD,0,12,label_affinity,topn,0.9122579181706522,0.18679766869468825,0.5656296104172789,4.0,5,1.0,1.0,0.9384355684878601,1.1976542158680534
NSLKDD,0,12,label_affinity,random_n,0.5654404157236225,0.22465574574258815,0.4148255159807843,4.333333333333333,5,1.0,0.0,0.5520100699908891,1.1976542158680534
NSLKDD,0,13,label_affinity,topn,0.4265560013525345,0.22661343779852378,0.476801264366378,4.333333333333333,5,1.0,1.0,0.9713726141984423,0.11107725507871291
NSLKDD,0,13,label_affinity,random_n,0.6684425216617499,0.12783981029456018,0.5154089259678003,3.6666666666666665,5,1.0,0.6666666666666666,0.6656038407230083,0.11107725507871291
NSLKDD,0,14,label_affinity,topn,0.15129725007551068,0.21396662300654098,0.5926727395332624,2.0,4,0.8,1.0,0.9978813480278902,0.2893477012394981
NSLKDD,0,14,label_affinity,random_n,0.5450282209977128,0.3864999691399622,0.5493303739783674,3.3333333333333335,5,1.0,0.6666666666666666,0.6786439202376257,0.2893477012394981
NSLKDD,0,15,label_affinity,topn,0.25650922045427965,0.36275881844019237,0.6447786434886239,2.0,4,0.8,0.6666666666666666,0.8354514175029122,0.9177865625596873
NSLKDD,0,15,label_affinity,random_n,0.665798389348743,0.4980290237858418,0.5660118356726365,3.3333333333333335,5,1.0,0.3333333333333333,0.6638134532645414,0.9177865625596873
NSLKDD,0,16,label_affinity,topn,0.4193181212594361,0.1888643932585545,0.4538437821680315,4.333333333333333,5,1.0,1.0,0.9907063848140646,0.1565686765915486
NSLKDD,0,16,label_affinity,random_n,0.45981658296454847,0.3318425768002704,0.427894709577322,3.6666666666666665,5,1.0,0.3333333333333333,0.5043108001811578,0.1565686765915486
NSLKDD,0,17,label_affinity,topn,0.7776713697062881,0.15483435519209676,0.49803957394640025,4.333333333333333,5,1.0,1.0,0.9520752489751342,0.7498689193907178
NSLKDD,0,17,label_affinity,random_n,0.5523848744688493,0.28955553416365126,0.38892929766830475,4.666666666666667,5,1.0,0.6666666666666666,0.5957232450944886,0.7498689193907178
NSLKDD,0,18,label_affinity,topn,0.45100981861117556,0.23939956211171695,0.39836643387448606,4.333333333333333,5,1.0,1.0,0.9909603606942934,0.2525094592838073
NSLKDD,0,18,label_affinity,random_n,0.515843324868306,0.36537241513248364,0.5952236308021192,3.3333333333333335,5,1.0,0.0,0.26361204933567955,0.2525094592838073
NSLKDD,0,19,label_affinity,topn,0.3200171438056538,0.3796245971799015,0.5432880126276419,3.0,5,1.0,1.0,0.9896886637885777,-0.0
NSLKDD,0,19,label_affinity,random_n,0.550634629308344,0.4079404396662658,0.5825204046397445,4.0,5,1.0,0.3333333333333333,0.33525628220971404,-0.0
NSLKDD,0,20,label_affinity,topn,0.6644498747067317,0.1679971786725045,0.6256444795000285,3.0,4,0.8,1.0,0.9806558779703155,0.5218845358979604
NSLKDD,0,20,label_affinity,random_n,0.873420170531019,0.25495885323740924,0.5162171251426111,4.0,5,1.0,0.0,0.5630896268050406,0.5218845358979604
NSLKDD,0,21,label_affinity,topn,0.8449542146778429,0.26183735167774563,0.5029931422809838,5.0,5,1.0,0.3333333333333333,0.886178531082817,0.7997409521781756
NSLKDD,0,21,label_affinity,random_n,0.5614376996314382,0.4051742493230171,0.5466272035545532,2.6666666666666665,4,0.8,0.0,0.3711230270583119,0.7997409521781756
NSLKDD,0,22,label_affinity,topn,0.36580752154642426,0.18598520427165652,0.3999748644614019,4.666666666666667,5,1.0,1.0,0.9957780952340082,0.05285672319771006
NSLKDD,0,22,label_affinity,random_n,0.8013166062667164,0.3049967310734168,0.3413727275180816,4.333333333333333,5,1.0,0.6666666666666666,0.6502628316325822,0.05285672319771006
NSLKDD,0,23,label_affinity,topn,0.9203011239268974,0.19805453461944023,0.5581532898556064,3.6666666666666665,4,0.8,1.0,0.9552104258678092,0.43010046820755576
NSLKDD,0,23,label_affinity,random_n,0.4345143798069973,0.3350582094752574,0.586038721560323,2.3333333333333335,5,1.0,0.3333333333333333,0.3862715749371873,0.43010046820755576
NSLKDD,0,24,label_affinity,topn,0.0,0.0,0.6586493998632245,1.0,1,0.2,1.0,1.0,-0.0
NSLKDD,0,24,label_affinity,random_n,0.5258228949134104,0.39213934888976415,0.5867307040336004,2.6666666666666665,4,0.8,0.3333333333333333,0.41737546461739994,-0.0
NSLKDD,0,25,label_affinity,topn,0.5689100574143153,0.15117086969213173,0.4067221392425268,4.333333333333333,5,1.0,1.0,0.9697702675208713,0.742959570934075
NSLKDD,0,25,label_affinity,random_n,0.6562183388579823,0.49563102227196587,0.48676283984223484,3.3333333333333335,5,1.0,0.0,0.43599386220554953,0.742959570934075
NSLKDD,0,26,label_affinity,topn,0.28444687563821097,0.40226862930221113,0.553229088013488,2.3333333333333335,5,1.0,1.0,0.9902827456363612,0.10671080450232856
NSLKDD,0,26,label_affinity,random_n,0.30918982576581405,0.3327466203722559,0.47203363152562217,3.3333333333333335,5,1.0,0.6666666666666666,0.6450668635512173,0.10671080450232856
NSLKDD,0,27,label_affinity,topn,0.3701663631759422,0.0855683881741924,0.42582213464626667,4.333333333333333,5,1.0,1.0,0.9664690271854406,0.5327862136834173
NSLKDD,0,27,label_affinity,random_n,0.3574973516813365,0.26723291601965765,0.5750226476333847,2.3333333333333335,4,0.8,0.0,0.23752209824141926,0.5327862136834173
NSLKDD,0,28,label_affinity,topn,0.6651431736947235,0.16834361069682352,0.6186224536307307,2.6666666666666665,4,0.8,0.6666666666666666,0.8518107544977026,0.7695276613628389
NSLKDD,0,28,label_affinity,random_n,0.44166717144260564,0.15937871002539897,0.49773072676567676,3.3333333333333335,5,1.0,0.3333333333333333,0.47743805600722883,0.7695276613628389
NSLKDD,0,29,label_affinity,topn,0.1320195019139422,0.11947362519722342,0.6231389064726061,3.0,5,1.0,1.0,0.9997647335204197,-0.0
NSLKDD,0,29,label_affinity,random_n,0.1865930965098779,0.16597348973064083,0.5485748063268231,3.0,5,1.0,0.3333333333333333,0.344845689989586,-0.0
NSLKDD,0,30,label_affinity,topn,0.03557026816744285,0.05030395565964566,0.6487083244773784,1.6666666666666667,3,0.6,1.0,0.9999648675329357,-0.0
NSLKDD,0,30,label_affinity,random_n,0.4441757219538643,0.3324507603451762,0.5499271377861784,3.6666666666666665,5,1.0,0.3333333333333333,0.34249214974837616,-0.0
NSLKDD,0,31,label_affinity,topn,0.3725668709423989,0.11789402103979381,0.42765880073715096,4.666666666666667,5,1.0,1.0,0.9894108145690058,0.16142240965546126
NSLKDD,0,31,label_affinity,random_n,0.7257418521073588,0.18570244985559678,0.6343212728194656,3.3333333333333335,5,1.0,0.3333333333333333,0.3668775010651377,0.16142240965546126
NSLKDD,0,32,label_affinity,topn,0.44182334901831927,0.20606938754756363,0.42923786459602287,4.333333333333333,5,1.0,1.0,0.9596545938588835,0.7150349814640573
NSLKDD,0,32,label_affinity,random_n,0.4706157078199554,0.3367943686871104,0.4678348279234146,3.0,4,0.8,0.3333333333333333,0.4451752757911262,0.7150349814640573
NSLKDD,0,33,label_affinity,topn,0.6311043939360349,0.42256959996918486,0.3927180930399297,4.333333333333333,5,1.0,1.0,0.9062564716980894,0.8860265936483007
NSLKDD,0,33,label_affinity,random_n,0.4340950237877888,0.13194396438358524,0.4255291353732371,4.666666666666667,5,1.0,0.6666666666666666,0.5944727068643548,0.8860265936483007
NSLKDD,0,34,label_affinity,topn,0.44737527479056743,0.15666626542638903,0.4233704382508274,4.333333333333333,5,1.0,1.0,0.9919147689910656,0.2064491047993998
NSLKDD,0,34,label_affinity,random_n,0.7253212112823464,0.3841354129796931,0.48401804847925867,4.333333333333333,5,1.0,0.3333333333333333,0.5784956585758835,0.2064491047993998
NSLKDD,0,35,label_affinity,topn,0.794885540762495,0.01909252904727529,0.4915337333667667,4.0,5,1.0,0.3333333333333333,0.9043727771123594,1.1461207699494
NSLKDD,0,35,label_affinity,random_n,0.8279841271139906,0.1915623075659524,0.5178491519888505,3.6666666666666665,4,0.8,0.0,0.5573908895234122,1.1461207699494
NSLKDD,0,36,label_affinity,topn,0.4516994911681798,0.2981160370023485,0.4661652436291775,4.333333333333333,5,1.0,1.0,0.9564518807659596,0.40321061293808513
NSLKDD,0,36,label_affinity,random_n,0.581468921936983,0.21629717791379327,0.4078876258197852,4.0,5,1.0,0.6666666666666666,0.6436404284854026,0.40321061293808513
NSLKDD,0,37,label_affinity,topn,1.0392993075778825,0.15517276036747785,0.5471926607938621,4.333333333333333,5,1.0,0.3333333333333333,0.8991993402854265,1.2685706753126038
NSLKDD,0,37,label_affinity,random_n,0.5129787045090396,0.20178661511270515,0.5598525531731414,4.333333333333333,5,1.0,0.0,0.6643843736437686,1.2685706753126038
NSLKDD,0,38,label_affinity,topn,0.9439627719252921,0.1472236283228435,0.4192725774559678,4.333333333333333,5,1.0,0.6666666666666666,0.9319744260526436,0.7694555366234123
NSLKDD,0,38,label_affinity,random_n,0.4679463334570926,0.296670426303014,0.6337608338949511,4.333333333333333,5,1.0,0.3333333333333333,0.362888331121816,0.7694555366234123
NSLKDD,0,39,label_affinity,topn,0.9382631463845149,0.1265545431148956,0.6746311109055348,3.6666666666666665,4,0.8,1.0,0.8305792434253222,0.22846470548347894
NSLKDD,0,39,label_affinity,random_n,0.7897165465400473,0.2831208900871837,0.4798259381877932,4.333333333333333,5,1.0,0.0,0.0963758095054175,0.22846470548347894
NSLKDD,0,40,label_affinity,topn,0.3980312245089352,0.10386341446810463,0.48921242835559964,4.0,5,1.0,1.0,0.9912617607948085,0.608448948187752
NSLKDD,0,40,label_affinity,random_n,0.6497444740196633,0.16331654106956162,0.3952585180102784,4.666666666666667,5,1.0,0.3333333333333333,0.568753434954726,0.608448948187752
NSLKDD,0,41,label_affinity,topn,0.3971898710472475,0.30569796655746745,0.4745926365777618,4.333333333333333,5,1.0,1.0,0.9321226947535615,0.453501208307903
NSLKDD,0,41,label_affinity,random_n,0.5845281326197883,0.11754736144566655,0.49902512453981845,3.6666666666666665,5,1.0,0.6666666666666666,0.7031230693816081,0.453501208307903
NSLKDD,0,42,label_affinity,topn,0.8449996284173036,0.2766714072834686,0.5888983909946175,3.6666666666666665,4,0.8,1.0,0.9517926790108638,0.7477890224267422
NSLKDD,0,42,label_affinity,random_n,0.1344035376460284,0.19007530576993614,0.6107672310918253,2.0,5,1.0,0.0,0.2136855502646073,0.7477890224267422
NSLKDD,0,43,label_affinity,topn,0.48627014229945936,0.25236268143642976,0.44574921424943725,4.333333333333333,5,1.0,1.0,0.9820742832927691,0.674356251263648
NSLKDD,0,43,label_affinity,random_n,0.6400812356218647,0.4651800094241745,0.5946558772422516,3.3333333333333335,5,1.0,0.3333333333333333,0.5255358673603031,0.674356251263648
NSLKDD,0,44,label_affinity,topn,0.2141305289454846,0.30282629815282897,0.5549946744373521,2.0,4,0.8,1.0,0.9849552533596753,-0.0
NSLKDD,0,44,label_affinity,random_n,0.5932454676416077,0.25798716154529516,0.7251263954315669,4.0,5,1.0,0.0,0.21184246638857893,-0.0
NSLKDD,0,45,label_affinity,topn,0.49145680930880514,0.03245576406179313,0.5029564348884601,4.333333333333333,5,1.0,1.0,0.974463240771002,0.40448842193611634
NSLKDD,0,45,label_affinity,random_n,0.3137845093200798,0.44375830874304373,0.6904019002009524,1.6666666666666667,3,0.6,0.0,0.08623854718305175,0.40448842193611634
NSLKDD,0,46,label_affinity,topn,0.4213896734698815,0.14587914774832025,0.42714396351081496,4.333333333333333,5,1.0,1.0,0.984990255849274,0.488083005935095
NSLKDD,0,46,label_affinity,random_n,0.4959167936188756,0.4278239667675266,0.6112668312123094,4.0,5,1.0,0.0,0.2203930052842741,0.488083005935095
NSLKDD,0,47,label_affinity,topn,0.362482207623474,0.28778042274059445,0.44865206366497395,4.333333333333333,5,1.0,1.0,0.9807473036073336,0.6361151567799919
NSLKDD,0,47,label_affinity,random_n,0.46965085160305264,0.274222781022202,0.4980005636285934,4.0,5,1.0,0.6666666666666666,0.682132056438555,0.6361151567799919
NSLKDD,0,48,label_affinity,topn,0.4001015720226338,0.2817503841494958,0.37187880805965073,4.0,5,1.0,1.0,0.9943684287279259,0.33240493985997216
