dataset,algorithm,true_class,pred_class,family,count,is_intra_family
NSLKDD,FIDSUS,DoS,Probe,DoS,1171,False
NSLKDD,FIDSUS,Normal,R2L,Normal,1002,False
NSLKDD,FIDSUS,Normal,U2R,Normal,983,False
NSLKDD,FIDSUS,Normal,Probe,Normal,956,False
NSLKDD,FIDSUS,Normal,DoS,Normal,914,False
NSLKDD,FIDSUS,DoS,R2L,DoS,606,False
NSLKDD,FIDSUS,DoS,U2R,DoS,548,False
NSLKDD,FIDSUS,DoS,Normal,DoS,348,False
NSLKDD,FIDSUS,R2L,U2R,Privilege/Access,244,True
NSLKDD,FIDSUS,Probe,DoS,Probe,231,False
NSLKDD,FIDSUS,Probe,U2R,Probe,206,False
NSLKDD,FIDSUS,Probe,R2L,Probe,200,False
NSLKDD,FIDSUS,Probe,Normal,Probe,73,False
NSLKDD,FIDSUS,R2L,Probe,Privilege/Access,23,False
NSLKDD,FIDSUS,U2R,R2L,Privilege/Access,15,True
NSLKDD,FIDSUS,R2L,DoS,Privilege/Access,11,False
NSLKDD,FIDSUS,R2L,Normal,Privilege/Access,8,False
NSLKDD,FIDSUS,U2R,Probe,Privilege/Access,2,False
NSLKDD,FIDSUS,U2R,Normal,Privilege/Access,1,False
NSLKDD,FedAvg,Normal,Probe,Normal,1261,False
NSLKDD,FedAvg,Normal,DoS,Normal,1253,False
NSLKDD,FedAvg,Normal,R2L,Normal,1244,False
NSLKDD,FedAvg,Normal,U2R,Normal,1241,False
NSLKDD,FedAvg,DoS,Normal,DoS,868,False
NSLKDD,FedAvg,DoS,U2R,DoS,859,False
NSLKDD,FedAvg,DoS,Probe,DoS,846,False
NSLKDD,FedAvg,DoS,R2L,DoS,815,False
NSLKDD,FedAvg,Probe,U2R,Probe,229,False
NSLKDD,FedAvg,Probe,Normal,Probe,226,False
NSLKDD,FedAvg,Probe,DoS,Probe,222,False
NSLKDD,FedAvg,Probe,R2L,Probe,203,False
NSLKDD,FedAvg,R2L,Probe,Privilege/Access,96,False
NSLKDD,FedAvg,R2L,Normal,Privilege/Access,91,False
NSLKDD,FedAvg,R2L,DoS,Privilege/Access,88,False
NSLKDD,FedAvg,R2L,U2R,Privilege/Access,87,True
NSLKDD,FedAvg,U2R,DoS,Privilege/Access,6,False
NSLKDD,FedAvg,U2R,R2L,Privilege/Access,4,True
NSLKDD,FedAvg,U2R,Probe,Privilege/Access,3,False
NSLKDD,FedAvg,U2R,Normal,Privilege/Access,1,False
NSLKDD,FedProx,Normal,DoS,Normal,1248,False
NSLKDD,FedProx,Normal,Probe,Normal,1236,False
NSLKDD,FedProx,Normal,R2L,Normal,1205,False
NSLKDD,FedProx,Normal,U2R,Normal,1158,False
NSLKDD,FedProx,DoS,R2L,DoS,856,False
NSLKDD,FedProx,DoS,Probe,DoS,843,False
NSLKDD,FedProx,DoS,U2R,DoS,812,False
NSLKDD,FedProx,DoS,Normal,DoS,786,False
NSLKDD,FedProx,Probe,R2L,Probe,239,False
NSLKDD,FedProx,Probe,DoS,Probe,225,False
NSLKDD,FedProx,Probe,U2R,Probe,198,False
NSLKDD,FedProx,Probe,Normal,Probe,197,False
NSLKDD,FedProx,R2L,Normal,Privilege/Access,97,False
NSLKDD,FedProx,R2L,U2R,Privilege/Access,83,True
NSLKDD,FedProx,R2L,DoS,Privilege/Access,76,False
NSLKDD,FedProx,R2L,Probe,Privilege/Access,76,False
NSLKDD,FedProx,U2R,Normal,Privilege/Access,5,False
NSLKDD,FedProx,U2R,Probe,Privilege/Access,3,False
NSLKDD,FedProx,U2R,DoS,Privilege/Access,3,False
NSLKDD,FedProx,U2R,R2L,Privilege/Access,1,True
NSLKDD,FedProto,DoS,Probe,DoS,1356,False
NSLKDD,FedProto,Normal,U2R,Normal,1142,False
NSLKDD,FedProto,Normal,Probe,Normal,1091,False
NSLKDD,FedProto,Normal,R2L,Normal,1090,False
NSLKDD,FedProto,Normal,DoS,Normal,1052,False
NSLKDD,FedProto,DoS,U2R,DoS,658,False
NSLKDD,FedProto,DoS,R2L,DoS,655,False
NSLKDD,FedProto,DoS,Normal,DoS,357,False
NSLKDD,FedProto,Probe,DoS,Probe,286,False
NSLKDD,FedProto,R2L,U2R,Privilege/Access,226,True
NSLKDD,FedProto,Probe,U2R,Probe,223,False
NSLKDD,FedProto,Probe,R2L,Probe,195,False
NSLKDD,FedProto,Probe,Normal,Probe,75,False
NSLKDD,FedProto,R2L,Probe,Privilege/Access,54,False
NSLKDD,FedProto,R2L,DoS,Privilege/Access,30,False
NSLKDD,FedProto,R2L,Normal,Privilege/Access,21,False
NSLKDD,FedProto,U2R,R2L,Privilege/Access,9,True
NSLKDD,FedProto,U2R,DoS,Privilege/Access,3,False
NSLKDD,FedProto,U2R,Probe,Privilege/Access,1,False
UNSW,FIDSUS,Normal,Generic,Normal,525,False
UNSW,FIDSUS,Normal,Exploits,Normal,522,False
UNSW,FIDSUS,Normal,Shellcode,Normal,520,False
